trade_date,cash,positions_value,equity
20210104,1000000.0,0.0,1000000.0
20210105,1000000.0,0.0,1000000.0
20210106,1000000.0,0.0,1000000.0
20210107,1000000.0,0.0,1000000.0
20210108,1000000.0,0.0,1000000.0
20210111,1000000.0,0.0,1000000.0
20210112,1000000.0,0.0,1000000.0
20210113,1000000.0,0.0,1000000.0
20210114,1000000.0,0.0,1000000.0
20210115,1000000.0,0.0,1000000.0
20210118,1000000.0,0.0,1000000.0
20210119,1000000.0,0.0,1000000.0
20210120,1000000.0,0.0,1000000.0
20210121,1000000.0,0.0,1000000.0
20210122,1000000.0,0.0,1000000.0
20210125,1000000.0,0.0,1000000.0
20210126,1000000.0,0.0,1000000.0
20210127,1000000.0,0.0,1000000.0
20210128,1000000.0,0.0,1000000.0
20210129,1000000.0,0.0,1000000.0
20210201,455.09731364346226,1002437.5866003424,1002892.6839139858
20210202,455.09731364346226,1005639.66538531,1006094.7626989534
20210203,455.09731364346226,998145.2259174763,998600.3232311198
20210204,455.09731364346226,989337.6341926481,989792.7315062915
20210205,455.09731364346226,998815.9430771556,999271.040390799
20210208,455.09731364346226,1013348.8177268608,1013803.9150405042
20210209,455.09731364346226,1016140.3631979633,1016595.4605116068
20210210,455.09731364346226,1021475.8613507885,1021930.9586644319
20210218,455.09731364346226,1030686.118653165,1031141.2159668084
20210219,455.09731364346226,1041919.4893975301,1042374.5867111735
20210222,455.09731364346226,1059223.794877232,1059678.8921908755
20210223,455.09731364346226,1053050.8349809488,1053505.9322945923
20210224,455.09731364346226,1048822.3074089733,1049277.4047226168
20210225,455.09731364346226,1061439.7815271374,1061894.8788407808
20210226,455.09731364346226,1049223.727944211,1049678.8252578545
20210301,385.6262816336239,1056520.1419000449,1056905.7681816784
20210302,385.6262816336239,1058416.3859658304,1058802.0122474642
20210303,385.6262816336239,1072282.593477427,1072668.2197590605
20210304,385.6262816336239,1071945.6236929693,1072331.2499746028
20210305,385.6262816336239,1078125.1158280615,1078510.742109695
20210308,385.6262816336239,1068823.0823149635,1069208.708596597
20210309,385.6262816336239,1068201.8159898983,1068587.442271532
20210310,385.6262816336239,1066110.1062840482,1066495.732565682
20210311,385.6262816336239,1071417.4476975643,1071803.073979198
20210312,385.6262816336239,1076331.5763375403,1076717.202619174
