run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight
1,A,5,40,0.0,,0.5,0.5,0.0
2,A,5,40,0.0,,0.6,0.4,0.0
3,A,5,40,0.0,,0.7,0.3,0.0
4,A,5,40,0.0,,0.8,0.2,0.0
5,A,5,40,0.0,,0.5,0.4,0.1
6,A,5,40,0.0,,0.6,0.3,0.1
7,A,5,40,0.0,,0.7,0.2,0.1
8,A,5,40,0.0,,0.5,0.3,0.2
9,A,5,40,0.0,,0.6,0.2,0.2
10,A,5,40,10000.0,,0.5,0.5,0.0
11,A,5,40,10000.0,,0.6,0.4,0.0
12,A,5,40,10000.0,,0.7,0.3,0.0
13,A,5,40,10000.0,,0.8,0.2,0.0
14,A,5,40,10000.0,,0.5,0.4,0.1
15,A,5,40,10000.0,,0.6,0.3,0.1
16,A,5,40,10000.0,,0.7,0.2,0.1
17,A,5,40,10000.0,,0.5,0.3,0.2
18,A,5,40,10000.0,,0.6,0.2,0.2
19,A,5,40,50000.0,,0.5,0.5,0.0
20,A,5,40,50000.0,,0.6,0.4,0.0
21,A,5,40,50000.0,,0.7,0.3,0.0
22,A,5,40,50000.0,,0.8,0.2,0.0
23,A,5,40,50000.0,,0.5,0.4,0.1
24,A,5,40,50000.0,,0.6,0.3,0.1
25,A,5,40,50000.0,,0.7,0.2,0.1
26,A,5,40,50000.0,,0.5,0.3,0.2
27,A,5,40,50000.0,,0.6,0.2,0.2
28,A,5,60,0.0,,0.5,0.5,0.0
29,A,5,60,0.0,,0.6,0.4,0.0
30,A,5,60,0.0,,0.7,0.3,0.0
31,A,5,60,0.0,,0.8,0.2,0.0
32,A,5,60,0.0,,0.5,0.4,0.1
33,A,5,60,0.0,,0.6,0.3,0.1
34,A,5,60,0.0,,0.7,0.2,0.1
35,A,5,60,0.0,,0.5,0.3,0.2
36,A,5,60,0.0,,0.6,0.2,0.2
37,A,5,60,10000.0,,0.5,0.5,0.0
38,A,5,60,10000.0,,0.6,0.4,0.0
39,A,5,60,10000.0,,0.7,0.3,0.0
40,A,5,60,10000.0,,0.8,0.2,0.0
41,A,5,60,10000.0,,0.5,0.4,0.1
42,A,5,60,10000.0,,0.6,0.3,0.1
43,A,5,60,10000.0,,0.7,0.2,0.1
44,A,5,60,10000.0,,0.5,0.3,0.2
45,A,5,60,10000.0,,0.6,0.2,0.2
46,A,5,60,50000.0,,0.5,0.5,0.0
47,A,5,60,50000.0,,0.6,0.4,0.0
48,A,5,60,50000.0,,0.7,0.3,0.0
49,A,5,60,50000.0,,0.8,0.2,0.0
50,A,5,60,50000.0,,0.5,0.4,0.1
51,A,5,60,50000.0,,0.6,0.3,0.1
52,A,5,60,50000.0,,0.7,0.2,0.1
53,A,5,60,50000.0,,0.5,0.3,0.2
54,A,5,60,50000.0,,0.6,0.2,0.2
55,A,5,90,0.0,,0.5,0.5,0.0
56,A,5,90,0.0,,0.6,0.4,0.0
57,A,5,90,0.0,,0.7,0.3,0.0
58,A,5,90,0.0,,0.8,0.2,0.0
59,A,5,90,0.0,,0.5,0.4,0.1
60,A,5,90,0.0,,0.6,0.3,0.1
61,A,5,90,0.0,,0.7,0.2,0.1
62,A,5,90,0.0,,0.5,0.3,0.2
63,A,5,90,0.0,,0.6,0.2,0.2
64,A,5,90,10000.0,,0.5,0.5,0.0
65,A,5,90,10000.0,,0.6,0.4,0.0
66,A,5,90,10000.0,,0.7,0.3,0.0
67,A,5,90,10000.0,,0.8,0.2,0.0
68,A,5,90,10000.0,,0.5,0.4,0.1
69,A,5,90,10000.0,,0.6,0.3,0.1
70,A,5,90,10000.0,,0.7,0.2,0.1
71,A,5,90,10000.0,,0.5,0.3,0.2
72,A,5,90,10000.0,,0.6,0.2,0.2
73,A,5,90,50000.0,,0.5,0.5,0.0
74,A,5,90,50000.0,,0.6,0.4,0.0
75,A,5,90,50000.0,,0.7,0.3,0.0
76,A,5,90,50000.0,,0.8,0.2,0.0
77,A,5,90,50000.0,,0.5,0.4,0.1
78,A,5,90,50000.0,,0.6,0.3,0.1
79,A,5,90,50000.0,,0.7,0.2,0.1
80,A,5,90,50000.0,,0.5,0.3,0.2
81,A,5,90,50000.0,,0.6,0.2,0.2
82,A,5,120,0.0,,0.5,0.5,0.0
83,A,5,120,0.0,,0.6,0.4,0.0
84,A,5,120,0.0,,0.7,0.3,0.0
85,A,5,120,0.0,,0.8,0.2,0.0
86,A,5,120,0.0,,0.5,0.4,0.1
87,A,5,120,0.0,,0.6,0.3,0.1
88,A,5,120,0.0,,0.7,0.2,0.1
89,A,5,120,0.0,,0.5,0.3,0.2
90,A,5,120,0.0,,0.6,0.2,0.2
91,A,5,120,10000.0,,0.5,0.5,0.0
92,A,5,120,10000.0,,0.6,0.4,0.0
93,A,5,120,10000.0,,0.7,0.3,0.0
94,A,5,120,10000.0,,0.8,0.2,0.0
95,A,5,120,10000.0,,0.5,0.4,0.1
96,A,5,120,10000.0,,0.6,0.3,0.1
97,A,5,120,10000.0,,0.7,0.2,0.1
98,A,5,120,10000.0,,0.5,0.3,0.2
99,A,5,120,10000.0,,0.6,0.2,0.2
100,A,5,120,50000.0,,0.5,0.5,0.0
101,A,5,120,50000.0,,0.6,0.4,0.0
102,A,5,120,50000.0,,0.7,0.3,0.0
103,A,5,120,50000.0,,0.8,0.2,0.0
104,A,5,120,50000.0,,0.5,0.4,0.1
105,A,5,120,50000.0,,0.6,0.3,0.1
106,A,5,120,50000.0,,0.7,0.2,0.1
107,A,5,120,50000.0,,0.5,0.3,0.2
108,A,5,120,50000.0,,0.6,0.2,0.2
109,A,5,180,0.0,,0.5,0.5,0.0
110,A,5,180,0.0,,0.6,0.4,0.0
111,A,5,180,0.0,,0.7,0.3,0.0
112,A,5,180,0.0,,0.8,0.2,0.0
113,A,5,180,0.0,,0.5,0.4,0.1
114,A,5,180,0.0,,0.6,0.3,0.1
115,A,5,180,0.0,,0.7,0.2,0.1
116,A,5,180,0.0,,0.5,0.3,0.2
117,A,5,180,0.0,,0.6,0.2,0.2
118,A,5,180,10000.0,,0.5,0.5,0.0
119,A,5,180,10000.0,,0.6,0.4,0.0
120,A,5,180,10000.0,,0.7,0.3,0.0
121,A,5,180,10000.0,,0.8,0.2,0.0
122,A,5,180,10000.0,,0.5,0.4,0.1
123,A,5,180,10000.0,,0.6,0.3,0.1
124,A,5,180,10000.0,,0.7,0.2,0.1
125,A,5,180,10000.0,,0.5,0.3,0.2
126,A,5,180,10000.0,,0.6,0.2,0.2
127,A,5,180,50000.0,,0.5,0.5,0.0
128,A,5,180,50000.0,,0.6,0.4,0.0
129,A,5,180,50000.0,,0.7,0.3,0.0
130,A,5,180,50000.0,,0.8,0.2,0.0
131,A,5,180,50000.0,,0.5,0.4,0.1
132,A,5,180,50000.0,,0.6,0.3,0.1
133,A,5,180,50000.0,,0.7,0.2,0.1
134,A,5,180,50000.0,,0.5,0.3,0.2
135,A,5,180,50000.0,,0.6,0.2,0.2
136,B,5,120,50000.0,0.25,0.6,0.3,0.1
137,B,5,120,50000.0,0.3,0.6,0.3,0.1
138,B,5,120,50000.0,0.35,0.6,0.3,0.1
139,B,5,60,0.0,0.25,0.6,0.3,0.1
140,B,5,60,0.0,0.3,0.6,0.3,0.1
141,B,5,60,0.0,0.35,0.6,0.3,0.1
142,B,5,60,50000.0,0.25,0.6,0.3,0.1
143,B,5,60,50000.0,0.3,0.6,0.3,0.1
144,B,5,60,50000.0,0.35,0.6,0.3,0.1
145,B,5,60,10000.0,0.25,0.6,0.3,0.1
146,B,5,60,10000.0,0.3,0.6,0.3,0.1
147,B,5,60,10000.0,0.35,0.6,0.3,0.1
148,B,5,120,10000.0,0.25,0.6,0.3,0.1
149,B,5,120,10000.0,0.3,0.6,0.3,0.1
150,B,5,120,10000.0,0.35,0.6,0.3,0.1
