run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
1,A,5,40,0.0,,0.5,0.5,0.0,1.3663460577234168,0.1963076343626542,-0.14965261014576026,1.240895834512638,70.68973867186256,463,ok,,115.467703
2,A,5,40,0.0,,0.6,0.4,0.0,1.196007147979759,0.17785387773053118,-0.14525752478726217,1.1025662350290462,70.05080259952992,458,ok,,4.919167
3,A,5,40,0.0,,0.7,0.3,0.0,1.16951036864155,0.17488226590445888,-0.1473335170365101,1.032277662199311,67.9312750886825,459,ok,,3.885485
4,A,5,40,0.0,,0.8,0.2,0.0,0.9342233148151777,0.1471491123730344,-0.19901985429557034,0.8439128358802654,68.71314138920711,457,ok,,3.998597
5,A,5,40,0.0,,0.5,0.4,0.1,1.6172331838587457,0.2216586302224688,-0.17035481268089192,1.4996726911310687,61.82508551412438,434,ok,,3.988897
6,A,5,40,0.0,,0.6,0.3,0.1,1.8417829485767325,0.24276455625591242,-0.1741851250418076,1.504393064898752,61.990619528683155,436,ok,,4.022991
7,A,5,40,0.0,,0.7,0.2,0.1,1.453552684566478,0.20535088510401112,-0.24760196092282494,1.2388809401931153,54.181325026119616,419,ok,,3.569124
8,A,5,40,0.0,,0.5,0.3,0.2,1.276857997952825,0.18674913841670215,-0.18304258892519953,1.243246248648743,50.7933674661779,406,ok,,3.736423
9,A,5,40,0.0,,0.6,0.2,0.2,1.6239232450711127,0.22230779482112806,-0.1576658534508062,1.3825682390696776,57.72358660725043,425,ok,,3.652745
10,A,5,40,10000.0,,0.5,0.5,0.0,1.145883013866222,0.1722081201479957,-0.13939760405831159,1.220325083755744,70.23987575185807,461,ok,,113.637563
11,A,5,40,10000.0,,0.6,0.4,0.0,1.0714356856907759,0.16362679413282777,-0.1388798605229543,1.1265009733124371,68.69780857082941,449,ok,,5.062657
12,A,5,40,10000.0,,0.7,0.3,0.0,1.1285714988818496,0.1702339621525295,-0.14733368593442642,1.0862015006457701,69.54424611836336,461,ok,,3.866694
13,A,5,40,10000.0,,0.8,0.2,0.0,1.0651896083040548,0.1628957810291367,-0.16283535287722317,0.9839385215807143,69.03930722731326,458,ok,,3.85961
14,A,5,40,10000.0,,0.5,0.4,0.1,1.5963631384091386,0.21962504275499617,-0.1840298164959262,1.488798745734724,61.51974614112483,435,ok,,3.896096
15,A,5,40,10000.0,,0.6,0.3,0.1,1.932593067404607,0.2509259133899626,-0.1856780497825602,1.5491370840303584,62.05308056306963,434,ok,,3.978335
16,A,5,40,10000.0,,0.7,0.2,0.1,1.6246281511947234,0.22237611845297334,-0.21402750447609264,1.3249714520526958,55.485607791846164,423,ok,,3.763076
17,A,5,40,10000.0,,0.5,0.3,0.2,1.3520637953288581,0.19480151839102455,-0.18330291632790097,1.280172702750654,51.268051241809545,406,ok,,4.155269
18,A,5,40,10000.0,,0.6,0.2,0.2,1.5894963641176885,0.21895311072269497,-0.15756398162366525,1.381185020663234,56.56139037646211,420,ok,,3.76928
19,A,5,40,50000.0,,0.5,0.5,0.0,1.4730756611701556,0.20734044293899734,-0.12402083501470962,1.4440231359188467,66.04665766580254,444,ok,,114.314031
20,A,5,40,50000.0,,0.6,0.4,0.0,1.617579035462716,0.22169222184014492,-0.1431840712120599,1.4571382998054143,70.94958893117825,455,ok,,4.966672
21,A,5,40,50000.0,,0.7,0.3,0.0,1.7437461426687002,0.2337185003813731,-0.11964602408567337,1.4360775106801036,74.41208439519654,469,ok,,4.21454
22,A,5,40,50000.0,,0.8,0.2,0.0,1.2024166058425223,0.17856843007090006,-0.15087258250376767,1.0622761591404726,73.43280532585011,470,ok,,4.180424
23,A,5,40,50000.0,,0.5,0.4,0.1,1.7834850056952734,0.2374156556553466,-0.13291056727562967,1.6249025784287108,58.136800264860845,422,ok,,3.637541
