run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
105,A,5,120,50000.0,,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,3.528552
136,B,5,120,50000.0,0.25,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,3.82255
137,B,5,120,50000.0,0.3,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,3.949198
138,B,5,120,50000.0,0.35,0.6,0.3,0.1,2.0630922853017757,0.26231068894607534,-0.10055243581426454,1.7473948639309884,49.63350500991256,397,ok,,4.214621
33,A,5,60,0.0,,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,3.924281
139,B,5,60,0.0,0.25,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,3.848262
140,B,5,60,0.0,0.3,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,4.026473
141,B,5,60,0.0,0.35,0.6,0.3,0.1,2.212399322024618,0.2748744449973455,-0.17607108065258004,1.7021632920499856,53.69308605406818,413,ok,,4.429401
51,A,5,60,50000.0,,0.6,0.3,0.1,2.1655906628110317,0.2709863141390607,-0.15898800719871076,1.6856227737179306,55.31511060801874,415,ok,,4.093489
142,B,5,60,50000.0,0.25,0.6,0.3,0.1,2.1655906628110317,0.2709863141390607,-0.15898800719871076,1.6856227737179306,55.31511060801874,415,ok,,4.566605
