trade_date,cash,positions_value,equity
20210104,1000000.0,0.0,1000000.0
20210105,1000000.0,0.0,1000000.0
20210106,1000000.0,0.0,1000000.0
20210107,1000000.0,0.0,1000000.0
20210108,1000000.0,0.0,1000000.0
20210111,2687.8117593814386,964112.8631225352,966800.6748819166
20210112,2687.8117593814386,951386.18456955,954073.9963289314
20210113,2687.8117593814386,952224.781552532,954912.5933119134
20210114,2687.8117593814386,893741.2225989382,896429.0343583196
20210115,2687.8117593814386,901951.0636154326,904638.875374814
20210118,9468.929427501076,912590.7770137535,922059.7064412546
20210119,9468.929427501076,890271.6807673648,899740.6101948658
20210120,9468.929427501076,927692.7310847586,937161.6605122597
20210121,9468.929427501076,967129.6017994711,976598.5312269721
20210122,9468.929427501076,934821.5848325227,944290.5142600237
20210125,2033.782080619305,979610.1272601369,981643.9093407562
20210126,2033.782080619305,981600.1975419562,983633.9796225755
20210127,2033.782080619305,944726.557626403,946760.3397070223
20210128,2033.782080619305,923283.6618960468,925317.4439766661
20210129,2033.782080619305,943416.6258766621,945450.4079572815
20210201,3271.2423045538017,919622.4962120246,922893.7385165785
20210202,3271.2423045538017,946691.1305662952,949962.372870849
20210203,3271.2423045538017,919718.0946635443,922989.3369680981
20210204,3271.2423045538017,867593.5442737911,870864.7865783449
20210205,3271.2423045538017,826459.7399497586,829730.9822543124
20210208,2975.436921046843,838190.9050593124,841166.3419803592
20210209,2975.436921046843,865581.0394109508,868556.4763319977
20210210,2975.436921046843,857275.044505436,860250.4814264828
20210218,2361.4808479590865,910944.8274470905,913306.3082950496
20210219,2361.4808479590865,934511.6395751229,936873.1204230819
20210222,17343.03033512432,894385.5240593647,911728.554394489
20210223,17343.03033512432,894772.0979394503,912115.1282745746
20210224,17343.03033512432,858297.6867642197,875640.717099344
20210225,17343.03033512432,855208.4834734359,872551.5138085602
20210226,17343.03033512432,837091.9952503825,854435.0255855068
20210301,24664.754319042957,848073.0712811238,872737.8256001668
20210302,24664.754319042957,814825.859487281,839490.6138063238
20210303,24664.754319042957,835719.9703577171,860384.7246767601
20210304,24664.754319042957,774720.8791230635,799385.6334421064
20210305,24664.754319042957,767507.3696158521,792172.123934895
20210308,6724.427324970631,725730.1559284162,732454.5832533868
20210309,6724.427324970631,703312.3029867505,710036.7303117211
