trade_date,cash,positions_value,equity
20210104,1000000.0,0.0,1000000.0
20210105,1000000.0,0.0,1000000.0
20210106,1000000.0,0.0,1000000.0
20210107,1000000.0,0.0,1000000.0
20210108,1000000.0,0.0,1000000.0
20210111,1000000.0,0.0,1000000.0
20210112,1000000.0,0.0,1000000.0
20210113,1000000.0,0.0,1000000.0
20210114,1000000.0,0.0,1000000.0
20210115,1000000.0,0.0,1000000.0
20210118,1000000.0,0.0,1000000.0
20210119,1000000.0,0.0,1000000.0
20210120,1000000.0,0.0,1000000.0
20210121,1000000.0,0.0,1000000.0
20210122,1000000.0,0.0,1000000.0
20210125,1000000.0,0.0,1000000.0
20210126,1000000.0,0.0,1000000.0
20210127,1000000.0,0.0,1000000.0
20210128,1000000.0,0.0,1000000.0
20210129,1000000.0,0.0,1000000.0
20210201,748.1837015599012,1012267.9906363452,1013016.1743379051
20210202,748.1837015599012,1009299.5373895261,1010047.721091086
20210203,748.1837015599012,1008188.8613058594,1008937.0450074193
20210204,748.1837015599012,1006694.7878756705,1007442.9715772304
20210205,748.1837015599012,1023025.351121281,1023773.534822841
20210208,748.1837015599012,1016988.8555578378,1017737.0392593977
20210209,748.1837015599012,1013490.6928468384,1014238.8765483983
20210210,748.1837015599012,1013719.4367260851,1014467.620427645
20210218,748.1837015599012,1024128.7310572505,1024876.9147588104
20210219,748.1837015599012,1033242.1681873134,1033990.3518888733
20210222,748.1837015599012,1036799.1688748912,1037547.3525764511
20210223,748.1837015599012,1029866.5793928197,1030614.7630943796
20210224,748.1837015599012,1023705.4251095762,1024453.6088111361
20210225,748.1837015599012,1044196.6031422192,1044944.7868437791
20210226,748.1837015599012,1028002.3751450849,1028750.5588466448
20210301,573.8911829478279,1026774.3724902819,1027348.2636732297
20210302,573.8911829478279,1020379.9070798717,1020953.7982628195
20210303,573.8911829478279,1039670.2434985101,1040244.1346814579
20210304,573.8911829478279,1037702.1848812072,1038276.076064155
20210305,573.8911829478279,1042873.0505156448,1043446.9416985926
20210308,573.8911829478279,1041156.408669057,1041730.2998520047
20210309,573.8911829478279,1038128.7356057822,1038702.62678873
20210310,573.8911829478279,1038647.0108048866,1039220.9019878344
20210311,573.8911829478279,1049083.494775332,1049657.38595828
20210312,573.8911829478279,1054161.4127151037,1054735.3038980516
