trade_date,cash,positions_value,equity
20060104,1000000.0,0.0,1000000.0
20060105,1000000.0,0.0,1000000.0
20060106,1000000.0,0.0,1000000.0
20060109,104.458997628215,1031125.9269430948,1031230.385940723
20060110,104.458997628215,1035366.6978435778,1035471.156841206
20060111,104.458997628215,1047121.8600613379,1047226.3190589661
20060112,104.458997628215,1064145.6928460805,1064250.1518437087
20060113,104.458997628215,1052718.7968277961,1052823.2558254243
20060116,2.1332709385314956,1020338.4996258557,1020340.6328967942
20060117,2.1332709385314956,1010818.3812099766,1010820.5144809152
20060118,2.1332709385314956,1025074.388323174,1025076.5215941125
20060119,2.1332709385314956,1036724.4354638534,1036726.568734792
20060120,2.1332709385314956,1057590.2576847319,1057592.3909556703
20060123,47.77008102335276,1059807.1973019221,1059854.9673829456
20060124,47.77008102335276,1048727.6961415324,1048775.4662225558
20060125,47.77008102335276,1084382.2675898927,1084430.0376709162
20060206,103.52277821134379,1130907.5450648344,1131011.0678430458
20060207,103.52277821134379,1141552.5373888018,1141656.0601670132
20060208,103.52277821134379,1144175.128526667,1144278.6513048783
20060209,103.52277821134379,1136240.7347241275,1136344.2575023388
20060210,103.52277821134379,1180884.097527589,1180987.6203058003
20060213,15.99801958858734,1176399.5942899636,1176415.5923095522
20060214,15.99801958858734,1173935.2233680533,1173951.221387642
20060215,15.99801958858734,1169500.848451007,1169516.8464705956
20060216,15.99801958858734,1140278.426730503,1140294.4247500917
20060217,15.99801958858734,1127205.0005981666,1127220.9986177552
20060220,201944.9593516854,899718.7974214779,1101663.7567731633
20060221,201944.9593516854,899732.2021462008,1101677.1614978863
20060222,201944.9593516854,893796.4980532541,1095741.4574049395
20060223,201944.9593516854,896018.4391341966,1097963.398485882
20060224,201944.9593516854,889534.5274587243,1091479.4868104097
20060227,6.123432580847293,1088553.268887849,1088559.39232043
20060228,6.123432580847293,1081279.4390477587,1081285.5624803395
20060301,6.123432580847293,1099818.8693052558,1099824.9927378367
20060302,6.123432580847293,1078431.34382761,1078437.4672601908
20060303,6.123432580847293,1075193.1835740483,1075199.3070066292
20060306,22.032364997343393,1048886.6923107381,1048908.7246757355
20060307,22.032364997343393,1018118.5276105746,1018140.5599755719
20060308,22.032364997343393,1012753.7520716311,1012775.7844366285
20060309,22.032364997343393,1007132.4319812559,1007154.4643462532
20060310,22.032364997343393,1005044.96902274,1005067.0013877373
20060313,66.57757019335986,994439.7902598791,994506.3678300724
20060314,66.57757019335986,996442.2675482823,996508.8451184756
20060315,66.57757019335986,996534.1557947252,996600.7333649185
20060316,66.57757019335986,1012824.4972784326,1012891.0748486259
20060317,66.57757019335986,995402.5000150132,995469.0775852065
20060320,25.173171001835726,1039813.44664915,1039838.6198201518
20060321,25.173171001835726,1028725.3542954822,1028750.527466484
20060322,25.173171001835726,1031031.1679053882,1031056.34107639
20060323,25.173171001835726,1031132.3572433926,1031157.5304143945
20060324,25.173171001835726,1042767.7221497358,1042792.8953207376
20060327,36.05112314287726,1077629.8034712656,1077665.8545944085
20060328,36.05112314287726,1063171.837867133,1063207.888990276
20060329,36.05112314287726,1053041.3183510895,1053077.3694742324
20060330,36.05112314287726,1023681.1112522106,1023717.1623753534
20060331,36.05112314287726,1023163.6364569212,1023199.687580064
20060403,107.87108209214057,1069871.6519762047,1069979.5230582969
20060404,107.87108209214057,1091923.0756672649,1092030.946749357
20060405,107.87108209214057,1080616.9787757872,1080724.8498578793
