trade_date,cash,positions_value,equity
20210104,1000000.0,0.0,1000000.0
20210105,1000000.0,0.0,1000000.0
20210106,1000000.0,0.0,1000000.0
20210107,1000000.0,0.0,1000000.0
20210108,1000000.0,0.0,1000000.0
20210111,2132.247725496447,965372.5552625597,967504.8029880561
20210112,2132.247725496447,955317.0924572714,957449.3401827678
20210113,2132.247725496447,973917.9264949806,976050.174220477
20210114,2132.247725496447,919752.3513390103,921884.5990645067
20210115,2132.247725496447,882638.5488089937,884770.7965344901
20210118,3767.798431085481,872721.9327519585,876489.7311830439
20210119,3767.798431085481,831591.1864423559,835358.9848734413
20210120,3767.798431085481,831820.2548924986,835588.0533235841
20210121,3767.798431085481,829252.7988461595,833020.597277245
20210122,3767.798431085481,800464.5368634849,804232.3352945703
20210125,156865.9367869737,679166.7086901943,836032.645477168
20210126,156865.9367869737,671858.7231423457,828724.6599293194
20210127,156865.9367869737,716403.8014383377,873269.7382253114
20210128,156865.9367869737,664468.944627038,821334.8814140117
20210129,156865.9367869737,607695.3471354546,764561.2839224284
20210201,662.5893631618819,748155.2382903899,748817.8276535517
20210202,662.5893631618819,748176.2289722584,748838.8183354202
20210203,662.5893631618819,758650.2487157583,759312.8380789203
20210204,662.5893631618819,721097.4771424932,721760.0665056552
20210205,662.5893631618819,701116.3031252187,701778.8924883807
20210208,3181.6359896343347,674209.5700434358,677391.2060330701
20210209,3181.6359896343347,699785.7628850816,702967.3988747159
20210210,3181.6359896343347,683486.446948992,686668.0829386263
20210218,170937.00972810676,553149.4018440078,724086.4115721146
20210219,170937.00972810676,560444.2434710561,731381.2531991629
20210222,179.42476043093484,767052.6202899858,767232.0450504167
20210223,179.42476043093484,781844.4110127818,782023.8357732127
20210224,179.42476043093484,815808.5179754727,815987.9427359037
20210225,179.42476043093484,797630.0951190012,797809.5198794322
20210226,179.42476043093484,762272.9011880511,762452.325948482
20210301,610.5995005747536,796164.0474022344,796774.6469028092
20210302,610.5995005747536,813564.9600681725,814175.5595687473
20210303,610.5995005747536,825357.5448818891,825968.1443824639
20210304,610.5995005747536,827145.1111969093,827755.7106974841
20210305,610.5995005747536,796866.6135936526,797477.2130942274
20210308,402.0545878635312,795797.5458647085,796199.600452572
20210309,402.0545878635312,798740.97300919,799143.0275970536
